Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-10T22:45:11.184693
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-10T22:45:11.184693
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-10T22:45:11.185720
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-10T22:45:11.185720
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-10T22:45:11.185720
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-10T22:45:11.185720
T-shirt 8,7802560.0,3.1,3,L,Women,2026-05-10T22:45:11.185720
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-10T22:45:11.185720
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-10T22:45:11.185720
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-10T22:45:11.186225
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-10T22:45:11.186225
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-05-10T22:45:11.186225
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-05-10T22:45:11.186225
Outerwear 17,841600.0,3.8,3,M,Women,2026-05-10T22:45:11.186225
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-05-10T22:45:11.186225
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-05-10T22:45:11.186225
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-05-10T22:45:11.186225
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-10T22:45:11.477950
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-10T22:45:11.477950
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-10T22:45:11.477950
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-10T22:45:11.477950
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-10T22:45:11.477950
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-10T22:45:11.478956
T-shirt 8,7802560.0,3.1,3,L,Women,2026-05-10T22:45:11.478956
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-10T22:45:11.478956
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-10T22:45:11.478956
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-10T22:45:11.478956
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-10T22:45:11.478956
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-05-10T22:45:11.478956
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-05-10T22:45:11.478956
Outerwear 17,841600.0,3.8,3,M,Women,2026-05-10T22:45:11.478956
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-05-10T22:45:11.478956
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-05-10T22:45:11.478956
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-05-10T22:45:11.478956
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-10T22:45:11.804833
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-10T22:45:11.804833
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-10T22:45:11.804833
